,Date,Price
169,2024-08-12 03:13:58.571,58554.46081213625
170,2024-08-12 04:16:43.302,58431.11518125146
171,2024-08-12 05:14:52.093,58600.66576891849
172,2024-08-12 06:13:41.985,58437.06364064398
173,2024-08-12 07:04:11.195,58448.86585917062
174,2024-08-12 08:21:17.650,58812.20051163998
175,2024-08-12 09:03:38.109,58303.406724980516
176,2024-08-12 10:17:53.963,58223.513740514
177,2024-08-12 11:16:46.972,59372.15000462517
178,2024-08-12 12:07:57.221,59714.60252234014
179,2024-08-12 13:15:40.672,59768.523472827816
180,2024-08-12 14:21:12.725,59177.9964628881
181,2024-08-12 15:11:25.984,60140.893484773536
182,2024-08-12 16:23:57.854,59701.57143830804
183,2024-08-12 17:24:12.964,59808.77022585978
184,2024-08-12 18:21:58.827,59244.19489833363
185,2024-08-12 19:16:15.485,59043.951298881395
186,2024-08-12 20:20:45.451,59252.87617331191
187,2024-08-12 21:22:01.240,58733.30616009725
188,2024-08-12 22:20:39.701,59160.940626575415
189,2024-08-12 23:08:59.096,59193.79443709478
190,2024-08-13 00:10:06.838,59487.84718712906
191,2024-08-13 01:13:15.334,59616.15061031841
192,2024-08-13 02:08:52.257,59645.69569462356
193,2024-08-13 03:17:18.951,59196.59489093399
194,2024-08-13 04:20:55.826,58948.845278903515
195,2024-08-13 05:23:49.709,59206.26829520003
196,2024-08-13 06:19:46.177,59210.93641438889
197,2024-08-13 07:02:50.292,59392.98070471743
198,2024-08-13 08:18:44.123,59326.83192545242
199,2024-08-13 09:21:36.909,58867.89565221312
200,2024-08-13 10:02:26.632,58968.03485419861
201,2024-08-13 11:09:07.455,58726.82476342119
202,2024-08-13 12:00:29.938,58802.04160747715
203,2024-08-13 13:10:39.670,59066.919311197
204,2024-08-13 14:09:13.370,59374.14959473762
205,2024-08-13 15:10:18.810,59639.09853912866
206,2024-08-13 16:21:26.515,59982.698175257654
207,2024-08-13 17:03:51.438,61213.260164439576
208,2024-08-13 18:03:37.304,61213.05752654258
209,2024-08-13 19:19:20.855,60586.49440610235
210,2024-08-13 20:23:20.816,60700.017313229466
211,2024-08-13 21:17:08.309,60634.62198998188
212,2024-08-13 22:08:39.348,60930.70826903593
213,2024-08-13 23:20:34.790,60520.521585843
214,2024-08-14 00:02:39.020,60611.1178437017
215,2024-08-14 01:10:59.402,60754.85111728312
216,2024-08-14 02:17:11.757,60680.99542837812
217,2024-08-14 03:20:26.493,60974.5246749954
218,2024-08-14 04:22:10.085,60934.71745277854
219,2024-08-14 05:16:25.267,61018.6692167453
220,2024-08-14 06:00:59.898,60892.081560238315
221,2024-08-14 07:08:44.286,60780.9965478888
222,2024-08-14 08:05:20.166,60932.51558979862
223,2024-08-14 09:12:38.740,60905.02264032649
224,2024-08-14 10:21:18.850,61116.85624966809
